Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Формальдегид IgE, K80",780.00,17.13.A13,1 дн,📋 Прочие анализы,,A09.05.118.213,
"Парацетамол IgE, C85",1225.00,17.13.A14,7 дн,📋 Прочие анализы,,A09.05.118.216,
"Анальгин IgE, C91",1225.00,17.13.A15,7 дн,📋 Прочие анализы,,A09.05.118.217,
"Диклофенак IgE, C79",1225.00,17.13.A16,7 дн,📋 Прочие анализы,,A09.05.118.219,
"Ибупрофен IgE, C78",1225.00,17.13.A17,7 дн,📋 Прочие анализы,,A09.05.118.218,
"Кетопрофен IgE, C172",1225.00,17.13.A18,7 дн,📋 Прочие анализы,,A09.05.118.220,
"Ацетилсалициловая кислота (аспирин) IgE, С51",1225.00,17.13.A19,7 дн,📋 Прочие анализы,,A09.05.118.221,
"Пенициллин V IgE, С2",780.00,17.13.A2,1 дн,📋 Прочие анализы,,A09.05.118.212,
"Ампициллин IgE, C203",780.00,17.13.A3,1 дн,📋 Прочие анализы,,A09.05.118.209,
"Амоксициллин IgE, C204",780.00,17.13.A4,1 дн,📋 Прочие анализы,,A09.05.118.208,
"Инсулин человеческий IgE, C73",780.00,17.13.A7,1 дн,📋 Прочие анализы,,A09.05.118.207,
"Азитромицин IgE, С194",780.00,17.13.A8,4 дн,📋 Прочие анализы,,A09.05.118.470,
"Доксициклин IgE, С62",780.00,17.13.A9,4 дн,📋 Прочие анализы,,A09.05.118.210,
"Хлопок IgE, O1",780.00,17.14.A1,1 дн,📋 Прочие анализы,,A09.05.118.515,
"Шерсть IgE, K20",1045.00,17.14.A2,1 дн,📋 Прочие анализы,,A09.05.118.516,
"Шелк IgE, k74",780.00,17.14.A3,1 дн,📋 Прочие анализы,,A09.05.118.517,
"Латекс IgE, K82",780.00,17.14.A4,1 дн,📋 Прочие анализы,,A09.05.118.514,
"Панель профессиональных аллергенов №1 IgE (перхоть лошади, перхоть коровы, перо гуся, перо курицы - суммарно)",2310.00,17.15.A10,7-10 дн,📋 Прочие анализы,,B03.002.004.031,
"Панель аллергенов животных №1 IgE (эпителий кошки, перхоть лошади, перхоть коровы, перхоть собаки - суммарно)",2310.00,17.15.A6,7-10 дн,📋 Прочие анализы,,B03.002.004.032,
"Панель аллергенов животных №70 IgE (эпителий морской свинки, эпителий кролика, хомяк, крыса, мышь - суммарно)",2310.00,17.15.A7,7-10 дн,📋 Прочие анализы,,B03.002.004.033,
"Панель аллергенов животных/перья птиц №71 IgE (перо гуся, перо курицы, перо утки, перо индюка - суммарно)",2310.00,17.15.A8,7-10 дн,📋 Прочие анализы,,B03.002.004.034,
"Панель аллергенов животных/перья птиц №72 IgE (перо волнистого попугая, перо попугая, перо канарейки - суммарно)",2310.00,17.15.A9,7-10 дн,📋 Прочие анализы,,B03.002.004.035,
"Панель пищевых аллергенов №1 IgE (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2310.00,17.16.A19,7-10 дн,📋 Прочие анализы,,B03.002.004.017,
"Панель пищевых аллергенов №2 IgE (треска, тунец, креветки, лосось, мидии - суммарно)",2310.00,17.16.A20,7-10 дн,📋 Прочие анализы,,B03.002.004.018,
"Панель пищевых аллергенов №3 IgE (пшеничная мука, овсяная мука, кукурузная мука, семена кунжута, гречневая мука - суммарно)",2310.00,17.16.A21,7-10 дн,📋 Прочие анализы,,B03.002.004.019,
"Панель пищевых аллергенов №5 IgE (яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы - суммарно)",2310.00,17.16.A22,7-10 дн,📋 Прочие анализы,,B03.002.004.020,
"Панель пищевых аллергенов №6 IgE (рис, семена кунжута, пшеничная мука, гречневая мука, соевые бобы - суммарно)",2310.00,17.16.A23,7-10 дн,📋 Прочие анализы,,B03.002.004.021,
"Панель пищевых аллергенов №7 IgE (яичный белок, рис, коровье молоко, aрахис, пшеничная мука, соевые бобы - суммарно)",2310.00,17.16.A24,7-10 дн,📋 Прочие анализы,,B03.002.004.022,
"Панель пищевых аллергенов №13 IgE (горох, белая фасоль,морковь, картофель - суммарно)",2310.00,17.16.A25,7-10 дн,📋 Прочие анализы,,B03.002.004.023,
"Панель пищевых аллергенов №15 IgE (апельсин, банан, яблоко, персик - суммарно)",2310.00,17.16.A26,7-10 дн,📋 Прочие анализы,,B03.002.004.024,
"Панель пищевых аллергенов №24 IgE (фундук, креветки, киви, банан - суммарно)",2310.00,17.16.A27,7-10 дн,📋 Прочие анализы,,B03.002.004.025,
"Панель пищевых аллергенов №25 IgE (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2310.00,17.16.A28,7-10 дн,📋 Прочие анализы,,B03.002.004.026,
"Панель пищевых аллергенов №26 IgE (яичный белок, молоко, арахис, горчица - суммарно)",2310.00,17.16.A29,7-10 дн,📋 Прочие анализы,,B03.002.004.027,
"Панель пищевых аллергенов №50 IgE (киви, манго, бананы, ананас - суммарно)",2310.00,17.16.A32,7-10 дн,📋 Прочие анализы,,B03.002.004.028,
"Панель пищевых аллергенов №51 IgE (помидор, картофель, морковь, чеснок, горчица - суммарно)",2310.00,17.16.A33,7-10 дн,📋 Прочие анализы,,B03.002.004.029,
"Панель пищевых аллергенов №73 IgE (свинина, куриное мясо, говядина, баранина - суммарно)",2310.00,17.16.A34,7-10 дн,📋 Прочие анализы,,B03.002.004.030,
"FOX (Food Xplorer) IgG, 287 антигенов (пищевая непереносимость)",25500.00,17.17.A10,7-10 дн,🦠 Серология,,B03.002.004.117,
IgG4 к пищевым аллергенам (пищевая непереносимость - 88 аллергенов/микстов),20500.00,17.17.D1,7-10 дн,📋 Прочие анализы,,B03.002.004.054,
"Панель аллергенов деревьев №2 IgE (клен ясенелистный, тополь, вяз, дуб, пекан-суммарно)",2310.00,17.19.A29,7-10 дн,📋 Прочие анализы,,B03.002.004.038,
"Панель аллергенов деревьев №5 IgE (oльха, лещина обыкновенная, вяз, ива, тополь - суммарно)",2310.00,17.19.A30,7-10 дн,📋 Прочие анализы,,B03.002.004.039,
"Панель аллергенов деревьев №9 IgE (ольха, береза, лещина обыкновенная, дуб, ива - суммарно)",2310.00,17.19.A31,7-10 дн,📋 Прочие анализы,,B03.002.004.040,
"Панель аллергенов деревьев №1 IgE (клен ясенелистный, береза, вяз, дуб, грецкий орех - суммарно)",2310.00,17.19.A32,7-10 дн,📋 Прочие анализы,,B03.002.004.037,
"Панель аллергенов трав №1 IgE (ежа сборная, овсяница луговая, рожь многолетняя, тимофеевка, мятлик луговой - суммарно)",2310.00,17.20.A31,7-10 дн,📋 Прочие анализы,,B03.002.004.042,
"Панель аллергенов трав №3 IgE (колосок душистый, рожь многолетняя, тимофеевка, рожь культивированная, бухарник шерстистый - суммарно)",2310.00,17.20.A32,7-10 дн,📋 Прочие анализы,,B03.002.004.043,
"Панель аллергенов сорных растений и цветов №1 IgE (амброзия обыкновенная, полынь обыкновенная, подорожник, марь белая, зольник/cолянка - суммарно)",2310.00,17.20.A33,7-10 дн,📋 Прочие анализы,,B03.002.004.044,
"Панель аллергенов сорных растений и цветов №3 IgE (полынь обыкновенная, подорожник, марь белая, золотарник, крапива двудомная - суммарно)",2310.00,17.20.A34,7-10 дн,📋 Прочие анализы,,B03.002.004.045,
"Панель аллергенов сорных растений и цветов №5 IgE (амброзия обыкновенная, полынь обыкновенная, золотарник, нивяник, одуванчик лекарственный - суммарно)",2310.00,17.20.A35,7-10 дн,📋 Прочие анализы,,B03.002.004.046,
"Панель ингаляционных аллергенов №1 IgE (ежа сборная, тимофеевка, японский кедр, амброзия обыкновенная, полынь обыкновенная - суммарно)",2310.00,17.21.A35,7-10 дн,📋 Прочие анализы,,B03.002.004.047,
"Панель ингаляционных аллергенов №2 IgE (тимофеевка, плесневый гриб (Alternaria tenuis), береза, полынь обыкновенная - суммарно)",2310.00,17.21.A36,7-10 дн,📋 Прочие анализы,,B03.002.004.048,
"Панель ингаляционных аллергенов №3 IgE (клещ - дерматофаг перинный, эпителий кошки, эпителий собаки, плесневый гриб Aspergillus fumigatus - суммарно)",2310.00,17.21.A37,7-10 дн,📋 Прочие анализы,,B03.002.004.049,
"Панель ингаляционных аллергенов №6 IgE (плесневый гриб Cladosporium herbarum, тимофеевка, плесневый гриб Alternaria tenuis, береза, полынь обыкновенная - суммарно)",2310.00,17.21.A38,7-10 дн,📋 Прочие анализы,,B03.002.004.050,
"Панель ингаляционных аллергенов №7 IgE (эпителий кошки, клещ-дерматофаг перинный, перхоть лошади, перхоть собаки, эпителий кролика - суммарно)",2310.00,17.21.A39,7-10 дн,📋 Прочие анализы,,B03.002.004.051,
"Панель ингаляционных аллергенов №8 IgE (эпителий кошки, клещ-дерматофаг перинный, береза, перхоть собаки, полынь обыкновенная, тимофеевка, рожь культивированная, плесневый гриб Cladosporum herbarum - суммарно)",2310.00,17.21.A40,7-10 дн,📋 Прочие анализы,,B03.002.004.052,
"Панель ингаляционных аллергенов №9 IgE (эпителий кошки, перхоть собаки, овсяница луговая, плесневый гриб Alternaria tenuis, подорожник - суммарно)",2310.00,17.21.A41,7-10 дн,📋 Прочие анализы,,B03.002.004.053,
"Панель аллергенов плесени №1 IgE (penicillium notatum, cladosporium herbarum, aspergillus fumigatus, candida albicans, alternaria tenuis - суммарно)",2310.00,17.21.A42,7-10 дн,📋 Прочие анализы,,B03.002.004.013,
"Панель аллергенов пыли №1 IgE (домашняя пыль Greer, клещ-дерматофаг перинный, клещ-дерматофаг мучной, таракан - суммарно)",2310.00,17.21.A43,7-10 дн,📋 Прочие анализы,,B03.002.004.015,
"Панель клещевых аллергенов №1 IgE (клещ-дерматофаг перинный, мучной, dermatophagoides microceras, lepidoglyphus destructor, tyrophagus putrescentiae, glycyphagus domesticus, euroglyphus maynei, blomia tropicalis - сумм.)",2310.00,17.21.A44,7-10 дн,📋 Прочие анализы,,B03.002.004.014,
"Панель аллергенов плесени IgE, TM9 (Penicillium chrysogenum notatum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Candida albicans m5, Alternaria ",2310.00,17.21.A54,7-10 дн,📋 Прочие анализы,,B03.002.004.016,
"Плесневый гриб (Penicillum notatum) IgE (ImmunoCAP), m1",1035.00,17.22.A1,9 дн,📋 Прочие анализы,,A09.05.118.476,
"Плесневый гриб (Cladosporium herbarum) IgE (ImmunoCAP), m2",1035.00,17.22.A2,9 дн,📋 Прочие анализы,,A09.05.118.480,
"Дрожжевые грибы рода Malassezia IgE (ImmunoCAP), m227",1035.00,17.22.A3,9 дн,📋 Прочие анализы,,A09.05.118.477,
"Плесневый гриб Aspergillus terreus IgE (ImmunoCAP), m36",1035.00,17.22.A4,9 дн,📋 Прочие анализы,,A09.05.118.555,
"Кролик, эпителий IgE (ImmunoCAP), e82",1035.00,17.23.A1,9 дн,📋 Прочие анализы,,A09.05.118.430,
"Лошадь, перхоть IgE (ImmunoCAP), e3",1035.00,17.23.A2,9 дн,📋 Прочие анализы,,A09.05.118.428,
"Собака, перхоть IgE (ImmunoCAP), e5",1035.00,17.23.A29,9 дн,📋 Прочие анализы,,A09.05.118.427,
"Попугай, перья IgE (ImmunoCAP), e213",1035.00,17.23.A3,9 дн,📋 Прочие анализы,,A09.05.118.431,
"Кошка, перхоть IgE (ImmunoCAP), e1",1035.00,17.23.A30,9 дн,📋 Прочие анализы,,A09.05.118.426,
"Курица, перья IgE (ImmunoCAP), e85",1035.00,17.23.A31,9 дн,📋 Прочие анализы,,A09.05.118.440,
"Кошка, аллергокомпонент IgE (ImmunoCAP), e220 (rFel d2)",2525.00,17.23.A32,9 дн,📋 Прочие анализы,,A09.05.118.503,
"Морская свинка, эпителий IgE (ImmunoCAP), e6",1035.00,17.23.A4,9 дн,📋 Прочие анализы,,A09.05.118.429,
"Овца, эпителий IgE (ImmunoCAP), e81",1035.00,17.23.A5,9 дн,📋 Прочие анализы,,A09.05.118.441,
"Хомяк, эпителий IgE (ImmunoCAP), e84",1035.00,17.23.A6,9 дн,📋 Прочие анализы,,A09.05.118.442,
"Лещина обыкновенная IgE (ImmunoCAP), t4",1035.00,17.24.A31,9 дн,📋 Прочие анализы,,A09.05.118.446,
"Ольха серая IgE (ImmunoCAP), t2",1035.00,17.24.A32,9 дн,📋 Прочие анализы,,A09.05.118.445,
"Береза бородавчатая IgE (ImmunoCAP), t3",1035.00,17.24.A33,9 дн,📋 Прочие анализы,,A09.05.118.444,
"Ива белая IgE (ImmunoCAP), t12",1035.00,17.24.A34,9 дн,📋 Прочие анализы,,A09.05.118.447,
"Липа IgE (ImmunoCAP), t208",1035.00,17.24.A35,9 дн,📋 Прочие анализы,,A09.05.118.448,
"Тополь IgE (ImmunoCAP), t14",1035.00,17.24.A36,9 дн,📋 Прочие анализы,,A09.05.118.449,
"Полынь IgE (ImmunoCAP), w6",1035.00,17.25.A13,9 дн,📋 Прочие анализы,,A09.05.118.454,
"Амброзия высокая IgE (ImmunoCAP), w1",1035.00,17.25.A14,9 дн,📋 Прочие анализы,,A09.05.118.453,
"Одуванчик IgE (ImmunoCAP), w8",1035.00,17.25.A15,9 дн,📋 Прочие анализы,,A09.05.118.455,
"Ромашка IgE (ImmunoCAP), w206",1035.00,17.25.A16,9 дн,📋 Прочие анализы,,A09.05.118.456,
"Ежа сборная IgE (ImmunoCAP), g3",1035.00,17.25.A20,9 дн,📋 Прочие анализы,,A09.05.118.450,
"Мятлик луговой IgE (ImmunoCAP), g8",1035.00,17.25.A21,9 дн,📋 Прочие анализы,,A09.05.118.458,
"Лисохвост луговой IgE (ImmunoCAP), g16",1035.00,17.25.A22,9 дн,📋 Прочие анализы,,A09.05.118.457,
"Овсяница луговая IgE (ImmunoCAP), g4",1035.00,17.25.A23,9 дн,📋 Прочие анализы,,A09.05.118.451,
"Тимофеевка луговая IgE (ImmunoCAP), g6",1035.00,17.25.A24,9 дн,📋 Прочие анализы,,A09.05.118.452,
"Полынь горькая IgE (ImmunoCAP), w5",1035.00,17.25.A25,9 дн,📋 Прочие анализы,,A09.05.118.459,
"Марь белая IgE (ImmunoCAP), w10.",1035.00,17.25.A26,9 дн,📋 Прочие анализы,,A09.05.118.556,
"Домашняя пыль (Greer) IgE (ImmunoCAP), h1",1035.00,17.26.A5,9 дн,📋 Прочие анализы,,A09.05.118.463,
"Домашняя пыль (Holister) IgE (ImmunoCAP), h2",1035.00,17.26.A6,9 дн,📋 Прочие анализы,,A09.05.118.464,
"Панель аллергенов животных IgE ImmunoCAP, ex71 (микст перья птиц: гуся, курицы, утки, индейки - суммарно)",1525.00,17.27.A3,11 дн,📋 Прочие анализы,,B03.002.004.088,
"Панель аллергенов животных, эпителий IgE ImmunoCAP, ex1 (микст перхоть: кошки, собаки, лошади, коровы - суммарно)",1525.00,17.27.A44,11 дн,📋 Прочие анализы,,B03.002.004.086,
"Панель аллергенов деревьев IgE ImmunoCAP, tx9 (микст пыльца деревьев: ольха серая, береза бородавчатая, лещина обыкновенная, дуб белый, ива белая - суммарно)",1525.00,17.27.A45,11 дн,📋 Прочие анализы,,B03.002.004.089,
"Панель аллергенов злаковых трав IgE ImmunoCAP, gx1 (микст пыльца злаковых: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой - суммарно)",1525.00,17.27.A46,11 дн,📋 Прочие анализы,,B03.002.004.092,
"Панель бытовых аллергенов IgE ImmunoCAP, hx2 (микст: домашняя пыль, клещ домашней пыли D.pteronyssinus, клещ домашней пыли D. farinae, таракан рыжий - суммарно)",1525.00,17.27.A47,11 дн,📋 Прочие анализы,,B03.002.004.077,
"Панель аллергенов плесени IgE ImmunoCAP, mx1 (микст: Penicillium chrysogenum,  Cladosporium herbarum, Aspergillus fumigatus,  Alternaria alternata - суммарно)",1525.00,17.27.A50,11 дн,📋 Прочие анализы,,B03.002.004.107,
"Панель аллергенов животных IgE ImmunoCAP, ex2 (микст: перхоть кошки, перхоть собаки, эпителий морской свинки, крыса, мышь - суммарно)",1525.00,17.27.A51,11 дн,📋 Прочие анализы,,B03.002.004.087,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx3 (полынь w6, подорожник ланцетовидный w9,  марь w10, золотарник w12, крапива двудомная w20 - суммарно)",1525.00,17.27.A52,11 дн,📋 Прочие анализы,,B03.002.004.094,
"Панель аллергенов плесени IgE ImmunoCAP, mx2 (Penicillium chrysogenum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Alternaria alternata m6, Setomelanomma rostrata m8 - суммарно)",1525.00,17.27.A53,11 дн,📋 Прочие анализы,,B03.002.004.108,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx1 (амброзия высокая w1, полынь w6, подорожник ланцетолистный w9, марь белая w10, зольник/cолянка w11 - суммарно)",1525.00,17.27.A54,11 дн,📋 Прочие анализы,,B03.002.004.074,
"Панель аллергенов детской смеси IgE ImmunoCAP, fx5 (белок яйца f1, молоко f2, рыба f3, пшеница f4, арахис f13, соя f14 - суммарно)",1525.00,17.27.A55,11 дн,📋 Прочие анализы,,B03.002.004.098,
"Панель аллергенов животных IgE ImmunoCAP, ex70 (эпителий морской свинки e6, эпителий кролика e82, эпителий хомяка e84, крысы e87, мышь e88 - суммарно)",1525.00,17.27.A56,11 дн,📋 Прочие анализы,,B03.002.004.084,
"Панель аллергенов животных IgE ImmunoCAP, ex72 (перья птиц: волнистого попугайчика e78, канарейки e201, длиннохвостого попугайчика e196, попугая e213, вьюрка e214 - суммарно)",1525.00,17.27.A57,11 дн,📋 Прочие анализы,,B03.002.004.085,
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx5 (ольха серая t2, лещина t4, вяз t8, ива t12, тополь t14 - суммарно)",1525.00,17.27.A58,11 дн,📋 Прочие анализы,,B03.002.004.090,
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx6 (клен ясенелистный t1, береза бородавчатая t3, бук крупнолистный t5, дуб t7, грецкий орех t10 - суммарно)",1525.00,17.27.A59,11 дн,📋 Прочие анализы,,B03.002.004.091,
"Панель аллергенов морепродукты IgE ImmunoCAP, fx2 (рыба f3, креветки f24, голубая мидия f37, тунец f40, лосось f41 - суммарно)",1525.00,17.27.A60,11 дн,📋 Прочие анализы,,B03.002.004.097,
"Панель аллергенов мука злаковых и кунжутные IgE ImmunoCAP, fx3 (пшеница f4, овёс f7, кукуруза f8, кунжут f10, гречиха f11 - суммарно)",1525.00,17.27.A61,11 дн,📋 Прочие анализы,,B03.002.004.099,
"Панель аллергенов мука злаковых IgE ImmunoCAP, fx20 (пшеница f4, рожь f5, ячмень f6, рис f9 - суммарно)",1525.00,17.27.A62,11 дн,📋 Прочие анализы,,B03.002.004.100,
"Панель аллергенов мясо IgE ImmunoCAP, fx73 (свинина f26, говядина f27, курятина f83 - суммарно)",1525.00,17.27.A63,11 дн,📋 Прочие анализы,,B03.002.004.101,
"Панель аллергенов овощи и бобовые IgE ImmunoCAP, fx13 (горох f12, фасоль f15, морковь f31, картофель f35 - суммарно)",1525.00,17.27.A64,11 дн,📋 Прочие анализы,,B03.002.004.102,
"Панель аллергенов овощи IgE ImmunoCAP, fx14 (помидор f25, шпинат f214, капуста f216, паприка f218 - суммарно)",1525.00,17.27.A65,11 дн,📋 Прочие анализы,,B03.002.004.103,
"Панель аллергенов орехи IgE ImmunoCAP, fx1 (арахис f13, фундук f17, бразильский орех f18, миндаль f20, кокос f36 - суммарно)",1525.00,17.27.A66,11 дн,📋 Прочие анализы,,B03.002.004.104,
"Панель аллергенов рыба IgE ImmunoCAP, fx74 (треска f3, сельдь f205, скумбрия f206, камбала f254 - суммарно)",1525.00,17.27.A67,11 дн,📋 Прочие анализы,,B03.002.004.105,
"Панель аллергенов сорных трав IgE ImmunoCAP, wx2 (амброзия голометельчатая w2, полынь w6, подорожник ланцетовидный w9, марь w10, лебеда чечевицевидная w15 - суммарно)",1525.00,17.27.A68,11 дн,📋 Прочие анализы,,B03.002.004.093,
"Панель аллергенов фрукты и бахчевые IgE ImmunoCAP, fx21  (киви f84, дыня f87, банан f92, персик f95,  ананас f210 - суммарно)",1525.00,17.27.A69,11 дн,📋 Прочие анализы,,B03.002.004.095,
"Панель аллергенов цитрусовые и фрукты IgE ImmunoCAP, fx15  (апельсин f33, яблоко f49, банан f92,  персик f95 - суммарно)",1525.00,17.27.A70,11 дн,📋 Прочие анализы,,B03.002.004.096,
"Панель аллергенов амброзии IgE ImmunoCAP, wx209 (Амброзия высокая w1, Амброзия голометельчатая w2, Амброзия трехраздельная w3 - суммарно).",1525.00,17.27.A71,11 дн,📋 Прочие анализы,,B03.002.004.161,
"Комар IgE (ImmunoCAP), i71",1035.00,17.28.A1,9 дн,📋 Прочие анализы,,A09.05.118.435,
"Слепень IgE (ImmunoCAP), i204",1035.00,17.28.A10,9 дн,📋 Прочие анализы,,A09.05.118.443,
"Моль IgE (ImmunoCAP), i8",1035.00,17.28.A2,9 дн,📋 Прочие анализы,,A09.05.118.438,
"Мотыль IgE (ImmunoCAP), i73",1035.00,17.28.A3,9 дн,📋 Прочие анализы,,A09.05.118.437,
"Таракан рыжий (прусак) IgE (ImmunoCAP), i6",1035.00,17.28.A4,9 дн,📋 Прочие анализы,,A09.05.118.439,
"Яд осы обыкновенной IgE (ImmunoCAP), i3",1035.00,17.28.A5,9 дн,📋 Прочие анализы,,A09.05.118.434,
"Яд осы пятнистой IgE (ImmunoCAP), i2",1035.00,17.28.A6,9 дн,📋 Прочие анализы,,A09.05.118.433,
"Яд пчелы медоносной IgE (ImmunoCAP), i1",1035.00,17.28.A7,9 дн,📋 Прочие анализы,,A09.05.118.432,
"Яд шершня IgE (ImmunoCAP), i75",1035.00,17.28.A8,9 дн,📋 Прочие анализы,,A09.05.118.436,
"Аллергочип, ImmunoCAP ISAC E112i",34370.00,17.29.A48,9 дн,📋 Прочие анализы,,B03.002.004.075,
"Аллергокомплекс предоперационный IgE (ImmunoCap) (Триптаза, Желатин коровий с74, Латекс k82, Хлоргексидин с8)",5505.00,17.29.A49,5-10 дн,📋 Прочие анализы,,B03.002.004.079,
"Аллергокомплекс при астме/рините дети 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; основные пищевые: яичный белок, молоко)",7975.00,17.29.H10,9 дн,📋 Прочие анализы,,B03.002.004.082,
"Аллергокомплекс при экземе 3 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1; основные пищевые: яичный белок, молоко, треска, пшеница, соя; дополнительные пищевые: арахис, креветка)",7975.00,17.29.H11,9 дн,📋 Прочие анализы,,B03.002.004.083,
"Аллергокомплекс перед вакцинацией IgE (ImmunoCap) (Дрожжи пекарские f45, Яйцо f245, Триптаза)",5105.00,17.29.H3,9 дн,📋 Прочие анализы,,,
"Аллергокомплекс при экземе IgE (ImmunoCAP) (основные ингаляционные аллергены кошка, собака, клещ d1; дополнительные ингаляционные: клещ d2; основные пищевые: яичный белок, молоко, треска, пшеница, соя)",8385.00,17.29.H4,9 дн,📋 Прочие анализы,,,
"Компонентная диагностика аллергии на молоко  IgE (ImmunoCap) (молоко f2, казеин - аллергокомпонент f78)",3205.00,17.29.H5,9 дн,🎯 Комплексные программы,,,
"Аллергокомплекс при экземе 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1; основные пищевые: яичный белок, молоко, треска, пшеница, соя; дополнительные пищевые: какао, яичный желток)",9315.00,17.29.H6,9 дн,📋 Прочие анализы,,,
"Аллергокомплекс при астме/рините дети IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; основные пищевые: яичный белок, молоко; дополнительные пищевые: арахис)",8385.00,17.29.H7,9 дн,📋 Прочие анализы,,,
"Аллергокомплекс при астме/рините взрослые IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; дополнительные ингаляционные: курица, тополь)",7450.00,17.29.H8,9 дн,📋 Прочие анализы,,,
"Аллергокомплекс при астме/рините взрослые 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; дополнительные ингаляционные: амброзия, плесневый гриб)",7975.00,17.29.H9,9 дн,📋 Прочие анализы,,B03.002.004.081,
"Голубь (помет) IgE, E7",780.00,17.2.A1,1 дн,📋 Прочие анализы,,A09.05.118.114,
"Крыса (моча) IgE, E74",780.00,17.2.A10,1 дн,📋 Прочие анализы,,A09.05.118.121,
"Крыса (эпителий) IgE, E73",1045.00,17.2.A12,1 дн,📋 Прочие анализы,,A09.05.118.122,
"Курица (перо) IgE, E85",1360.00,17.2.A13,1 дн,📋 Прочие анализы,,A09.05.118.123,
"Курица (протеины сыворотки) IgE, E219",780.00,17.2.A14,1 дн,📋 Прочие анализы,,A09.05.118.124,
"Лошадь (перхоть) IgE, E3",780.00,17.2.A15,1 дн,📋 Прочие анализы,,A09.05.118.125,
"Морская свинка (эпителий) IgE, E6",780.00,17.2.A16,1 дн,📋 Прочие анализы,,A09.05.118.126,
"Мышь IgE, E88",780.00,17.2.A17,1 дн,📋 Прочие анализы,,A09.05.118.127,
"Гусь (перо) IgE, E70",1045.00,17.2.A2,1 дн,📋 Прочие анализы,,A09.05.118.115,
"Овца (эпителий) IgE, E81",1045.00,17.2.A21,1 дн,📋 Прочие анализы,,A09.05.118.128,
"Попугай (перо) IgE, E91",1045.00,17.2.A22,1 дн,📋 Прочие анализы,,A09.05.118.129,
"Попугай волнистый (перо) IgE, E78",1025.00,17.2.A23,1 дн,📋 Прочие анализы,,A09.05.118.130,
"Свинья (эпителий) IgE, E83",780.00,17.2.A24,1 дн,📋 Прочие анализы,,A09.05.118.131,
"Собака (перхоть) IgE, E5",780.00,17.2.A25,1 дн,📋 Прочие анализы,,A09.05.118.132,
"Собака (эпителий) IgE, E2",780.00,17.2.A26,1 дн,📋 Прочие анализы,,A09.05.118.133,
"Утка (перо) IgE, E86",780.00,17.2.A27,1 дн,📋 Прочие анализы,,A09.05.118.134,
"Хомяк (эпителий) IgE, E84",780.00,17.2.A28,1 дн,📋 Прочие анализы,,A09.05.118.135,
"Канарейка (перо) IgE, E201",780.00,17.2.A4,1 дн,📋 Прочие анализы,,A09.05.118.113,
"Коза (эпителий) IgE, E80",780.00,17.2.A5,1 дн,📋 Прочие анализы,,A09.05.118.116,
"Корова (перхоть) IgE, E4",780.00,17.2.A6,1 дн,📋 Прочие анализы,,A09.05.118.117,
"Кошка (эпителий) IgE, E1",780.00,17.2.A7,1 дн,📋 Прочие анализы,,A09.05.118.118,
"Кролик (эпителий) IgE, E82",780.00,17.2.A8,1 дн,📋 Прочие анализы,,A09.05.118.119,
"Крыса IgE, E87",1045.00,17.2.A9,1 дн,📋 Прочие анализы,,A09.05.118.120,
Фадиатоп детский (сбалансированная смесь ингаляционных и пищевых аллергенов для скрининга атопии для детей до 4 лет),2835.00,17.30.A43,5-10 дн,🎯 Комплексные программы,,B03.002.004.072,
Фадиатоп (сбалансированная смесь ингаляционных аллергенов для скрининга атопии для детей старше 4 лет и взрослых),3395.00,17.30.A44,5-10 дн,🎯 Комплексные программы,,B03.002.004.070,
"Панель пищевых аллергенов №1 IgG (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2310.00,17.31.A1,5-10 дн,📋 Прочие анализы,,B03.002.004.056,
"Панель пищевых аллергенов №25 IgG (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2310.00,17.31.A10,5-10 дн,📋 Прочие анализы,,B03.002.004.065,
"Панель пищевых аллергенов №26 IgG (яичный белок, молоко, арахис,горчица - суммарно)",2310.00,17.31.A11,5-10 дн,📋 Прочие анализы,,B03.002.004.066,
