Название услуги,Цена,Код услуги,Длительность
"Дополнительное изготовление микропрепарата (6-10), LDG",6555.00,16.1.A2,0 дн
Перезаливка блока с изготовлением одного гистологического стекла (Unim),1240.00,16.1.A23,0 дн
Дорезка одного стеклопрепарата из блока (Unim),510.00,16.1.A24,0 дн
"Гистологическое исследование биопсийного (1 фрагмент) и пункционного (до 2 столбиков в 1 контейнере) материала, соскобов (1 контейнер) (Unim)",2910.00,16.1.A25,0 дн
"Дополнительное изготовление микропрепарата (от 10), LDG",13005.00,16.1.A3,0 дн
"Гистологическое исследование эндоскопического материала желудка (OLGA, 3 контейнера: тело, угол, антральный отдел желудка), LDG",3545.00,16.1.A4,0дн
Гистологическое исследование эндоскопического материала (полип более 2 см; Unim),3790.00,16.1.A40,0 дн
"Гистологическое исследование эндоскопического материала сложное (более 3 кусочков) пищевода, желудка, кишки, бронха, гортани, трахеи (Unim)",3790.00,16.1.A41,0 дн
"Гистологическое исследование эндоскопического материала простое (до 3-х кусочков) пищевода, желудка, кишки, бронха, гортани, трахеи (Unim)",2910.00,16.1.A42,0 дн
Гистологическое исследование эндоскопического материала простое (до 3-х кусочков) +Выявление Helicobacter pylori за случай (Unim),4720.00,16.1.A43,0 дн
"Комплексное гистологическое исследование материала после эндоскопии/ колоноскопии (4 и более контейнера, за одно вмешательство; Unim)",10790.00,16.1.A44,0 дн
Гистологическое исследование после мультифокальной биопсии и желудка с оценкой по классификации OLGA/OLGIM+H.pylori (Unim),8150.00,16.1.A45,0 дн
Second Opinion - консультация готового случая (до 12 стёкол; Unim),12300.00,16.1.A47,0 дн
Гистологическое исследование соскоба цервикального канала + гистологическое исследование соскоба эндометрия/ гистологическое исследование биопсии шейки матки (Unim),4700.00,16.1.A49,0 дн
"Гистологическое исследование материала РДВ (раздельное диагностическое выскабливание: полость матки, цервикальный канал, 2 контейнера), LDG",4320.00,16.1.A5,0 дн
"Гистологическое исследование биопсийного и операционного материала кожных и подкожных новообразований, Unim",5100.00,16.1.A50,0 дн
"Комплексное гистологическое и иммуногистохимическое (ИГХ) исследование при подозрении на хронический эндометрит (CD138), Unim",7150.00,16.1.A51,0 дн
"Гистологическое исследование биопсийного, пункционного материала и соскобов+Диагностика методом иммуногистохимии (ИГХ) при раке молочной железы - 4 реакции (ER, PR, Ki-67, HER2; Unim)",17250.00,16.1.A52,0 дн
"Комплексное гистологическое исследование эндометрия с полипом (2 контейнера), LDG",4320.00,16.1.A53,0 дн
Гистологическое исследование операционного материала класса UN-1 (Unim),5965.00,16.1.A54,0 дн
Декальцинация при гистологическом исследовании костной или хрящевой ткани (Unim),2245.00,16.1.A55,0 дн
Гистологическое исследование операционного материала класса UN-2 (Unim),6240.00,16.1.A56,0 дн
Гистологическое исследование операционного материала класса UN-3 (Unim),10050.00,16.1.A57,0 дн
Гистологическое исследование операционного материала класса UN-4 (Unim),19100.00,16.1.A58,0 дн
Гистологическое исследование операционного материала класса UN-5 (Unim),29300.00,16.1.A59,0 дн
"Гистологическое исследование эндоскопического материала кишечника при воспалительных заболеваниях (лестничная биопсия, несколько контейнеров), LDG",4835.00,16.1.A6,0 дн
"Биопсия предстательной железы мультифокальная (гистологическое исследование материала), Hadassah",11310.00,16.1.A60,0 дн
"Гистологическое исследование биопсийного материала (эндоскопический или пункционный материал, 1 контейнер), Hadassah",2705.00,16.1.A61,0 дн
"Консультация готовых препаратов (1 локус, до 10 стекол), Hadassah",4645.00,16.1.A62,0 дн
"Комплексное гистологическое и иммуногистохимическое (ИГХ) исследование при опухоли молочной железы (4 реакции (ER, PR, Ki-67, HER2)), Hadassah",16100.00,16.1.A63,0 дн
"Изготовление 1 микропрепарата, Hadassah",3900.00,16.1.A64,0 дн
"Консультация готовых препаратов (1 локус, до 5 стекол), LDG",6030.00,16.1.A66,0 дн
"Консультация готовых препаратов (6-10 стекол), LDG",12980.00,16.1.A68,0 дн
"Консультация готовых препаратов (1 локус, более 11 стекол), LDG",19980.00,16.1.A69,0 дн
"Дополнительное изготовление 1 микропрепарата, LDG",1270.00,16.1.A7,0 дн
"Дополнительное изготовление 2 микропрепаратов, LDG",1915.00,16.1.A8,0 дн
"Дополнительное изготовление 3 микропрепаратов, LDG",2870.00,16.1.A9,0 дн
"ИГХ опухоли предстательной железы (Ck5/P63/AMACR), LDG",12395.00,16.2.A1,0 дн
"ИГХ исследование (6 антител), LDG",23660.00,16.2.A10,0 дн
"ИГХ исследование (7 антител), LDG",25675.00,16.2.A11,0 дн
"ИГХ исследование (8 антител), LDG",29360.00,16.2.A12,0 дн
"ИГХ исследование (9 антител), LDG",35495.00,16.2.A13,0 дн
"ИГХ исследование (10 антител), LDG",36675.00,16.2.A14,0 дн
"ИГХ прогностический маркер (1 антитело), LDG",10415.00,16.2.A15,0 дн
"ИГХ прогностический маркер (2 антитела), LDG",19400.00,16.2.A16,0 дн
"ИГХ прогностический маркер (3 антитела), LDG",32320.00,16.2.A17,0 дн
"ИГХ опухоли молочной железы (PR/ER/Кi67/Her2 neu), LDG",14380.00,16.2.A2,0 дн
"Иммуногистохимическое исследование, ALK, LDG",14785.00,16.2.A21,0 дн
"Иммуногистохимическое исследование, ROS1",11040.00,16.2.A22,0 дн
"Иммуногистохимическое исследование, PD-L1, LDG",13780.00,16.2.A23,0 дн
"Комплексное ИГХ исследование, LDG",32655.00,16.2.A24,0 дн
"ИГХ исследование (1 антитело), Unim",5690.00,16.2.A25,0 дн
"ИГХ исследование (2 антитела), Hadassah",7490.00,16.2.A26,0 дн
"ИГХ исследование (3 антитела), Hadassah",13370.00,16.2.A27,0 дн
"ИГХ исследование (4 антитела), Hadassah",16720.00,16.2.A28,0 дн
"ИГХ исследование (5 антител), Hadassah",18390.00,16.2.A29,0 дн
"ИГХ рецепторного статуса эндометрия, расширенное (фаза секреции (ER/PR/CD138/CD56/LIF)), LDG",15380.00,16.2.A3,0 дн
"ИГХ исследование (6 антител), Hadassah",23660.00,16.2.A30,0 дн
"ИГХ исследование (7 антител), Hadassah",25675.00,16.2.A31,0 дн
"ИГХ исследование (8 антител), Hadassah",29360.00,16.2.A32,0 дн
"ИГХ исследование (9 антител), Hadassah",35495.00,16.2.A33,0 дн
"ИГХ исследование (10 антител), Hadassah",36675.00,16.2.A34,0 дн
"ИГХ опухоли предстательной железы (Ck5/P63/AMACR), Hadassah",12765.00,16.2.A35,0 дн
"ИГХ опухоли молочной железы (PR/ER/Кi67/Her2 neu), Hadassah",12905.00,16.2.A36,0 дн
"Иммуногистохимическое исследование, определение экспрессии PDL1 (клон SP263), Hadassah",16500.00,16.2.A37,0 дн
"Иммуногистохимическое исследование, HER2 neu, Hadassah",5115.00,16.2.A39,0 дн
"ИГХ рецепторного статуса эндометрия, стандартное (фаза секреции (ER/PR/CD138/CD56)), LDG",12260.00,16.2.A4,0 дн
"Консультация перед ИГХ (до 10 стекол), Hadassah",2135.00,16.2.A40,0 дн
"Иммуногистохимическое исследование, определение экспрессии PDL1 (клон SP142), Hadassah",16500.00,16.2.A41,0 дн
"ИГХ исследование (более 10 антител), Unim",37010.00,16.2.A42,0 дн
"ИГХ исследование (5-10 антител), Unim",23570.00,16.2.A43,0 дн
"ИГХ исследование (до 4 антител), Unim",13625.00,16.2.A44,0 дн
"ИГХ диагностика хронического эндометрита (фаза пролиферации (CD20/CD138/CD56/HLA-DR)), LDG",12090.00,16.2.A5,0 дн
"ИГХ исследование (2 антитела), LDG",7490.00,16.2.A6,0 дн
"ИГХ исследование (3 антитела), LDG",13370.00,16.2.A7,0 дн
"ИГХ исследование (4 антитела), LDG",16720.00,16.2.A8,0 дн
"ИГХ исследование (5 антител), LDG",18390.00,16.2.A9,0 дн
"Энтеротоксин А (Staphylococcus aureus) IgE, O72",1015.00,17.10.A1,1 день
"Энтеротоксин B (Staphylococcus aureus) IgE, O73",780.00,17.10.A2,1 день
"Энтеротоксин TSST, m226",1035.00,17.10.A3,9дн
"Антитела к аскаридам (Ascaris lumbricoides) IgЕ,P1",780.00,17.11.A1,1 дн
"Личинки Anisakis (Anisakis Larvae) IgE, P4",780.00,17.11.A2,1 дн
"Комар (сем. Culicidae) IgE, I71",980.00,17.12.A1,1 дн
"Яд осиный (род Vespula) IgE, I3",1025.00,17.12.A10,1 дн
"Яд осиный (род Polistes) IgE, I4",1020.00,17.12.A11,1 дн
"Яд пчелы (Apis mellifera) IgE, I1",780.00,17.12.A12,1 дн
"Моль (сем. Tineidae) IgE, I8",780.00,17.12.A2,1 дн
"Мошки красной личинка (Chironomus plumosus) IgE,I73",1195.00,17.12.A3,1 дн
"Муравей рыжий (Solenopsis invicta) IgE, I70",780.00,17.12.A4,1 дн
"Слепень (сем. Tabanidae) IgE, I204",780.00,17.12.A5,1 дн
"Таракан рыжий (Blatella germanica) IgE, I6",980.00,17.12.A6,1 дн
"Шершень (оса пятнистая) (D. maculata) IgE, I2",780.00,17.12.A7,1 дн
"Пенициллин G IgE, С1",780.00,17.13.A1,1 дн
"Нистатин IgE, C122",780.00,17.13.A10,4 дн
"Цефуроксим IgE, C308",780.00,17.13.A11,4 дн
"Ципрофлоксацин IgE, C108",780.00,17.13.A12,4 дн
"Формальдегид IgE, K80",780.00,17.13.A13,1 дн
"Парацетамол IgE, C85",1225.00,17.13.A14,7 дн
"Анальгин IgE, C91",1225.00,17.13.A15,7 дн
"Диклофенак IgE, C79",1225.00,17.13.A16,7 дн
"Ибупрофен IgE, C78",1225.00,17.13.A17,7 дн
"Кетопрофен IgE, C172",1225.00,17.13.A18,7 дн
"Ацетилсалициловая кислота (аспирин) IgE, С51",1225.00,17.13.A19,7 дн
"Пенициллин V IgE, С2",780.00,17.13.A2,1 дн
"Ампициллин IgE, C203",780.00,17.13.A3,1 дн
"Амоксициллин IgE, C204",780.00,17.13.A4,1 дн
"Инсулин человеческий IgE, C73",780.00,17.13.A7,1 дн
"Азитромицин IgE, С194",780.00,17.13.A8,4 дн
"Доксициклин IgE, С62",780.00,17.13.A9,4 дн
"Хлопок IgE, O1",780.00,17.14.A1,1 дн
"Шерсть IgE, K20",1045.00,17.14.A2,1 дн
"Шелк IgE, k74",780.00,17.14.A3,1 дн
"Латекс IgE, K82",780.00,17.14.A4,1 дн
"Панель профессиональных аллергенов №1 IgE (перхоть лошади, перхоть коровы, перо гуся, перо курицы - суммарно)",2310.00,17.15.A10,7-10 дн
"Панель аллергенов животных №1 IgE (эпителий кошки, перхоть лошади, перхоть коровы, перхоть собаки - суммарно)",2310.00,17.15.A6,7-10 дн
"Панель аллергенов животных №70 IgE (эпителий морской свинки, эпителий кролика, хомяк, крыса, мышь - суммарно)",2310.00,17.15.A7,7-10 дн
"Панель аллергенов животных/перья птиц №71 IgE (перо гуся, перо курицы, перо утки, перо индюка - суммарно)",2310.00,17.15.A8,7-10 дн
"Панель аллергенов животных/перья птиц №72 IgE (перо волнистого попугая, перо попугая, перо канарейки - суммарно)",2310.00,17.15.A9,7-10 дн
"Панель пищевых аллергенов №1 IgE (арахис, миндаль, фундук, кокос, бразильский орех - суммарно)",2310.00,17.16.A19,7-10 дн
"Панель пищевых аллергенов №2 IgE (треска, тунец, креветки, лосось, мидии - суммарно)",2310.00,17.16.A20,7-10 дн
"Панель пищевых аллергенов №3 IgE (пшеничная мука, овсяная мука, кукурузная мука, семена кунжута, гречневая мука - суммарно)",2310.00,17.16.A21,7-10 дн
"Панель пищевых аллергенов №5 IgE (яичный белок, молоко, треска, пшеничная мука, арахис, соевые бобы - суммарно)",2310.00,17.16.A22,7-10 дн
"Панель пищевых аллергенов №6 IgE (рис, семена кунжута, пшеничная мука, гречневая мука, соевые бобы - суммарно)",2310.00,17.16.A23,7-10 дн
"Панель пищевых аллергенов №7 IgE (яичный белок, рис, коровье молоко, aрахис, пшеничная мука, соевые бобы - суммарно)",2310.00,17.16.A24,7-10 дн
"Панель пищевых аллергенов №13 IgE (горох, белая фасоль,морковь, картофель - суммарно)",2310.00,17.16.A25,7-10 дн
"Панель пищевых аллергенов №15 IgE (апельсин, банан, яблоко, персик - суммарно)",2310.00,17.16.A26,7-10 дн
"Панель пищевых аллергенов №24 IgE (фундук, креветки, киви, банан - суммарно)",2310.00,17.16.A27,7-10 дн
"Панель пищевых аллергенов №25 IgE (семена кунжута, пекарские дрожжи, чеснок, сельдерей - суммарно)",2310.00,17.16.A28,7-10 дн
"Панель пищевых аллергенов №26 IgE (яичный белок, молоко, арахис, горчица - суммарно)",2310.00,17.16.A29,7-10 дн
"Панель пищевых аллергенов №50 IgE (киви, манго, бананы, ананас - суммарно)",2310.00,17.16.A32,7-10 дн
"Панель пищевых аллергенов №51 IgE (помидор, картофель, морковь, чеснок, горчица - суммарно)",2310.00,17.16.A33,7-10 дн
"Панель пищевых аллергенов №73 IgE (свинина, куриное мясо, говядина, баранина - суммарно)",2310.00,17.16.A34,7-10 дн
"FOX (Food Xplorer) IgG, 287 антигенов (пищевая непереносимость)",25500.00,17.17.A10,7-10 дн
IgG4 к пищевым аллергенам (пищевая непереносимость - 88 аллергенов/микстов),20500.00,17.17.D1,7-10 дн
"Панель аллергенов деревьев №2 IgE (клен ясенелистный, тополь, вяз, дуб, пекан-суммарно)",2310.00,17.19.A29,7-10 дн
"Панель аллергенов деревьев №5 IgE (oльха, лещина обыкновенная, вяз, ива, тополь - суммарно)",2310.00,17.19.A30,7-10 дн
"Панель аллергенов деревьев №9 IgE (ольха, береза, лещина обыкновенная, дуб, ива - суммарно)",2310.00,17.19.A31,7-10 дн
"Панель аллергенов деревьев №1 IgE (клен ясенелистный, береза, вяз, дуб, грецкий орех - суммарно)",2310.00,17.19.A32,7-10 дн
"Панель аллергенов трав №1 IgE (ежа сборная, овсяница луговая, рожь многолетняя, тимофеевка, мятлик луговой - суммарно)",2310.00,17.20.A31,7-10 дн
"Панель аллергенов трав №3 IgE (колосок душистый, рожь многолетняя, тимофеевка, рожь культивированная, бухарник шерстистый - суммарно)",2310.00,17.20.A32,7-10 дн
"Панель аллергенов сорных растений и цветов №1 IgE (амброзия обыкновенная, полынь обыкновенная, подорожник, марь белая, зольник/cолянка - суммарно)",2310.00,17.20.A33,7-10 дн
"Панель аллергенов сорных растений и цветов №3 IgE (полынь обыкновенная, подорожник, марь белая, золотарник, крапива двудомная - суммарно)",2310.00,17.20.A34,7-10 дн
"Панель аллергенов сорных растений и цветов №5 IgE (амброзия обыкновенная, полынь обыкновенная, золотарник, нивяник, одуванчик лекарственный - суммарно)",2310.00,17.20.A35,7-10 дн
"Панель ингаляционных аллергенов №1 IgE (ежа сборная, тимофеевка, японский кедр, амброзия обыкновенная, полынь обыкновенная - суммарно)",2310.00,17.21.A35,7-10 дн
"Панель ингаляционных аллергенов №2 IgE (тимофеевка, плесневый гриб (Alternaria tenuis), береза, полынь обыкновенная - суммарно)",2310.00,17.21.A36,7-10 дн
"Панель ингаляционных аллергенов №3 IgE (клещ - дерматофаг перинный, эпителий кошки, эпителий собаки, плесневый гриб Aspergillus fumigatus - суммарно)",2310.00,17.21.A37,7-10 дн
"Панель ингаляционных аллергенов №6 IgE (плесневый гриб Cladosporium herbarum, тимофеевка, плесневый гриб Alternaria tenuis, береза, полынь обыкновенная - суммарно)",2310.00,17.21.A38,7-10 дн
"Панель ингаляционных аллергенов №7 IgE (эпителий кошки, клещ-дерматофаг перинный, перхоть лошади, перхоть собаки, эпителий кролика - суммарно)",2310.00,17.21.A39,7-10 дн
"Панель ингаляционных аллергенов №8 IgE (эпителий кошки, клещ-дерматофаг перинный, береза, перхоть собаки, полынь обыкновенная, тимофеевка, рожь культивированная, плесневый гриб Cladosporum herbarum - суммарно)",2310.00,17.21.A40,7-10 дн
"Панель ингаляционных аллергенов №9 IgE (эпителий кошки, перхоть собаки, овсяница луговая, плесневый гриб Alternaria tenuis, подорожник - суммарно)",2310.00,17.21.A41,7-10 дн
"Панель аллергенов плесени №1 IgE (penicillium notatum, cladosporium herbarum, aspergillus fumigatus, candida albicans, alternaria tenuis - суммарно)",2310.00,17.21.A42,7-10 дн
"Панель аллергенов пыли №1 IgE (домашняя пыль Greer, клещ-дерматофаг перинный, клещ-дерматофаг мучной, таракан - суммарно)",2310.00,17.21.A43,7-10 дн
"Панель клещевых аллергенов №1 IgE (клещ-дерматофаг перинный, мучной, dermatophagoides microceras, lepidoglyphus destructor, tyrophagus putrescentiae, glycyphagus domesticus, euroglyphus maynei, blomia tropicalis - сумм.)",2310.00,17.21.A44,7-10 дн
"Панель аллергенов плесени IgE, TM9 (Penicillium chrysogenum notatum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Candida albicans m5, Alternaria ",2310.00,17.21.A54,7-10 дн
"Плесневый гриб (Penicillum notatum) IgE (ImmunoCAP), m1",1035.00,17.22.A1,9 дн
"Плесневый гриб (Cladosporium herbarum) IgE (ImmunoCAP), m2",1035.00,17.22.A2,9 дн
"Дрожжевые грибы рода Malassezia IgE (ImmunoCAP), m227",1035.00,17.22.A3,9 дн
"Плесневый гриб Aspergillus terreus IgE (ImmunoCAP), m36",1035.00,17.22.A4,9 дн
"Кролик, эпителий IgE (ImmunoCAP), e82",1035.00,17.23.A1,9 дн
"Лошадь, перхоть IgE (ImmunoCAP), e3",1035.00,17.23.A2,9 дн
"Собака, перхоть IgE (ImmunoCAP), e5",1035.00,17.23.A29,9 дн
"Попугай, перья IgE (ImmunoCAP), e213",1035.00,17.23.A3,9 дн
"Кошка, перхоть IgE (ImmunoCAP), e1",1035.00,17.23.A30,9 дн
"Курица, перья IgE (ImmunoCAP), e85",1035.00,17.23.A31,9 дн
"Кошка, аллергокомпонент IgE (ImmunoCAP), e220 (rFel d2)",2525.00,17.23.A32,9 дн
"Морская свинка, эпителий IgE (ImmunoCAP), e6",1035.00,17.23.A4,9 дн
"Овца, эпителий IgE (ImmunoCAP), e81",1035.00,17.23.A5,9 дн
"Хомяк, эпителий IgE (ImmunoCAP), e84",1035.00,17.23.A6,9 дн
"Лещина обыкновенная IgE (ImmunoCAP), t4",1035.00,17.24.A31,9 дн
"Ольха серая IgE (ImmunoCAP), t2",1035.00,17.24.A32,9 дн
"Береза бородавчатая IgE (ImmunoCAP), t3",1035.00,17.24.A33,9 дн
"Ива белая IgE (ImmunoCAP), t12",1035.00,17.24.A34,9 дн
"Липа IgE (ImmunoCAP), t208",1035.00,17.24.A35,9 дн
"Тополь IgE (ImmunoCAP), t14",1035.00,17.24.A36,9 дн
"Полынь IgE (ImmunoCAP), w6",1035.00,17.25.A13,9 дн
"Амброзия высокая IgE (ImmunoCAP), w1",1035.00,17.25.A14,9 дн
"Одуванчик IgE (ImmunoCAP), w8",1035.00,17.25.A15,9 дн
"Ромашка IgE (ImmunoCAP), w206",1035.00,17.25.A16,9 дн
"Ежа сборная IgE (ImmunoCAP), g3",1035.00,17.25.A20,9 дн
"Мятлик луговой IgE (ImmunoCAP), g8",1035.00,17.25.A21,9 дн
"Лисохвост луговой IgE (ImmunoCAP), g16",1035.00,17.25.A22,9 дн
"Овсяница луговая IgE (ImmunoCAP), g4",1035.00,17.25.A23,9 дн
"Тимофеевка луговая IgE (ImmunoCAP), g6",1035.00,17.25.A24,9 дн
"Полынь горькая IgE (ImmunoCAP), w5",1035.00,17.25.A25,9 дн
"Марь белая IgE (ImmunoCAP), w10.",1035.00,17.25.A26,9 дн
"Домашняя пыль (Greer) IgE (ImmunoCAP), h1",1035.00,17.26.A5,9 дн
"Домашняя пыль (Holister) IgE (ImmunoCAP), h2",1035.00,17.26.A6,9 дн
"Панель аллергенов животных IgE ImmunoCAP, ex71 (микст перья птиц: гуся, курицы, утки, индейки - суммарно)",1525.00,17.27.A3,11 дн
"Панель аллергенов животных, эпителий IgE ImmunoCAP, ex1 (микст перхоть: кошки, собаки, лошади, коровы - суммарно)",1525.00,17.27.A44,11 дн
"Панель аллергенов деревьев IgE ImmunoCAP, tx9 (микст пыльца деревьев: ольха серая, береза бородавчатая, лещина обыкновенная, дуб белый, ива белая - суммарно)",1525.00,17.27.A45,11 дн
"Панель аллергенов злаковых трав IgE ImmunoCAP, gx1 (микст пыльца злаковых: ежа сборная, овсяница луговая, плевел, тимофеевка луговая, мятлик луговой - суммарно)",1525.00,17.27.A46,11 дн
"Панель бытовых аллергенов IgE ImmunoCAP, hx2 (микст: домашняя пыль, клещ домашней пыли D.pteronyssinus, клещ домашней пыли D. farinae, таракан рыжий - суммарно)",1525.00,17.27.A47,11 дн
"Панель аллергенов плесени IgE ImmunoCAP, mx1 (микст: Penicillium chrysogenum,  Cladosporium herbarum, Aspergillus fumigatus,  Alternaria alternata - суммарно)",1525.00,17.27.A50,11 дн
"Панель аллергенов животных IgE ImmunoCAP, ex2 (микст: перхоть кошки, перхоть собаки, эпителий морской свинки, крыса, мышь - суммарно)",1525.00,17.27.A51,11 дн
"Панель аллергенов сорных трав IgE ImmunoCAP, wx3 (полынь w6, подорожник ланцетовидный w9,  марь w10, золотарник w12, крапива двудомная w20 - суммарно)",1525.00,17.27.A52,11 дн
"Панель аллергенов плесени IgE ImmunoCAP, mx2 (Penicillium chrysogenum m1, Cladosporium herbarum m2, Aspergillus fumigatus m3, Alternaria alternata m6, Setomelanomma rostrata m8 - суммарно)",1525.00,17.27.A53,11 дн
"Панель аллергенов сорных трав IgE ImmunoCAP, wx1 (амброзия высокая w1, полынь w6, подорожник ланцетолистный w9, марь белая w10, зольник/cолянка w11 - суммарно)",1525.00,17.27.A54,11 дн
"Панель аллергенов детской смеси IgE ImmunoCAP, fx5 (белок яйца f1, молоко f2, рыба f3, пшеница f4, арахис f13, соя f14 - суммарно)",1525.00,17.27.A55,11 дн
"Панель аллергенов животных IgE ImmunoCAP, ex70 (эпителий морской свинки e6, эпителий кролика e82, эпителий хомяка e84, крысы e87, мышь e88 - суммарно)",1525.00,17.27.A56,11 дн
"Панель аллергенов животных IgE ImmunoCAP, ex72 (перья птиц: волнистого попугайчика e78, канарейки e201, длиннохвостого попугайчика e196, попугая e213, вьюрка e214 - суммарно)",1525.00,17.27.A57,11 дн
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx5 (ольха серая t2, лещина t4, вяз t8, ива t12, тополь t14 - суммарно)",1525.00,17.27.A58,11 дн
"Панель аллергенов к смеси пыльцы деревьев IgE ImmunoCAP, tx6 (клен ясенелистный t1, береза бородавчатая t3, бук крупнолистный t5, дуб t7, грецкий орех t10 - суммарно)",1525.00,17.27.A59,11 дн
"Панель аллергенов морепродукты IgE ImmunoCAP, fx2 (рыба f3, креветки f24, голубая мидия f37, тунец f40, лосось f41 - суммарно)",1525.00,17.27.A60,11 дн
"Панель аллергенов мука злаковых и кунжутные IgE ImmunoCAP, fx3 (пшеница f4, овёс f7, кукуруза f8, кунжут f10, гречиха f11 - суммарно)",1525.00,17.27.A61,11 дн
"Панель аллергенов мука злаковых IgE ImmunoCAP, fx20 (пшеница f4, рожь f5, ячмень f6, рис f9 - суммарно)",1525.00,17.27.A62,11 дн
"Панель аллергенов мясо IgE ImmunoCAP, fx73 (свинина f26, говядина f27, курятина f83 - суммарно)",1525.00,17.27.A63,11 дн
"Панель аллергенов овощи и бобовые IgE ImmunoCAP, fx13 (горох f12, фасоль f15, морковь f31, картофель f35 - суммарно)",1525.00,17.27.A64,11 дн
"Панель аллергенов овощи IgE ImmunoCAP, fx14 (помидор f25, шпинат f214, капуста f216, паприка f218 - суммарно)",1525.00,17.27.A65,11 дн
"Панель аллергенов орехи IgE ImmunoCAP, fx1 (арахис f13, фундук f17, бразильский орех f18, миндаль f20, кокос f36 - суммарно)",1525.00,17.27.A66,11 дн
"Панель аллергенов рыба IgE ImmunoCAP, fx74 (треска f3, сельдь f205, скумбрия f206, камбала f254 - суммарно)",1525.00,17.27.A67,11 дн
"Панель аллергенов сорных трав IgE ImmunoCAP, wx2 (амброзия голометельчатая w2, полынь w6, подорожник ланцетовидный w9, марь w10, лебеда чечевицевидная w15 - суммарно)",1525.00,17.27.A68,11 дн
"Панель аллергенов фрукты и бахчевые IgE ImmunoCAP, fx21  (киви f84, дыня f87, банан f92, персик f95,  ананас f210 - суммарно)",1525.00,17.27.A69,11 дн
"Панель аллергенов цитрусовые и фрукты IgE ImmunoCAP, fx15  (апельсин f33, яблоко f49, банан f92,  персик f95 - суммарно)",1525.00,17.27.A70,11 дн
"Панель аллергенов амброзии IgE ImmunoCAP, wx209 (Амброзия высокая w1, Амброзия голометельчатая w2, Амброзия трехраздельная w3 - суммарно).",1525.00,17.27.A71,11 дн
"Комар IgE (ImmunoCAP), i71",1035.00,17.28.A1,9 дн
"Слепень IgE (ImmunoCAP), i204",1035.00,17.28.A10,9 дн
"Моль IgE (ImmunoCAP), i8",1035.00,17.28.A2,9 дн
"Мотыль IgE (ImmunoCAP), i73",1035.00,17.28.A3,9 дн
"Таракан рыжий (прусак) IgE (ImmunoCAP), i6",1035.00,17.28.A4,9 дн
"Яд осы обыкновенной IgE (ImmunoCAP), i3",1035.00,17.28.A5,9 дн
"Яд осы пятнистой IgE (ImmunoCAP), i2",1035.00,17.28.A6,9 дн
"Яд пчелы медоносной IgE (ImmunoCAP), i1",1035.00,17.28.A7,9 дн
"Яд шершня IgE (ImmunoCAP), i75",1035.00,17.28.A8,9 дн
"Аллергочип, ImmunoCAP ISAC E112i",34370.00,17.29.A48,9 дн
"Аллергокомплекс предоперационный IgE (ImmunoCap) (Триптаза, Желатин коровий с74, Латекс k82, Хлоргексидин с8)",5505.00,17.29.A49,5-10 дн
"Аллергокомплекс при астме/рините дети 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; основные пищевые: яичный белок, молоко)",7975.00,17.29.H10,9 дн
"Аллергокомплекс при экземе 3 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1; основные пищевые: яичный белок, молоко, треска, пшеница, соя; дополнительные пищевые: арахис, креветка)",7975.00,17.29.H11,9 дн
"Аллергокомплекс перед вакцинацией IgE (ImmunoCap) (Дрожжи пекарские f45, Яйцо f245, Триптаза)",5105.00,17.29.H3,9 дн
"Аллергокомплекс при экземе IgE (ImmunoCAP) (основные ингаляционные аллергены кошка, собака, клещ d1; дополнительные ингаляционные: клещ d2; основные пищевые: яичный белок, молоко, треска, пшеница, соя)",8385.00,17.29.H4,9 дн
"Компонентная диагностика аллергии на молоко  IgE (ImmunoCap) (молоко f2, казеин - аллергокомпонент f78)",3205.00,17.29.H5,9 дн
"Аллергокомплекс при экземе 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1; основные пищевые: яичный белок, молоко, треска, пшеница, соя; дополнительные пищевые: какао, яичный желток)",9315.00,17.29.H6,9 дн
"Аллергокомплекс при астме/рините дети IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; основные пищевые: яичный белок, молоко; дополнительные пищевые: арахис)",8385.00,17.29.H7,9 дн
"Аллергокомплекс при астме/рините взрослые IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; дополнительные ингаляционные: курица, тополь)",7450.00,17.29.H8,9 дн
"Аллергокомплекс при астме/рините взрослые 2 IgE (ImmunoCAP) (основные ингаляционные аллергены: кошка, собака, клещ d1, тимофеевка, береза, полынь; дополнительные ингаляционные: амброзия, плесневый гриб)",7975.00,17.29.H9,9 дн
"Голубь (помет) IgE, E7",780.00,17.2.A1,1 дн
"Крыса (моча) IgE, E74",780.00,17.2.A10,1 дн
"Крыса (эпителий) IgE, E73",1045.00,17.2.A12,1 дн
"Курица (перо) IgE, E85",1360.00,17.2.A13,1 дн
"Курица (протеины сыворотки) IgE, E219",780.00,17.2.A14,1 дн
"Лошадь (перхоть) IgE, E3",780.00,17.2.A15,1 дн
