Название услуги,Цена,Код услуги,Длительность,Категория,Рекомендации после приёма,Код по приказу №804н,Ставка НДС
"Антитела к вирусу гепатита С, сум. (Anti-HCV)",810.0,11.3.A3,1.0,Серология,,A26.06.041,
"Антитела к вирусу гепатита C, IgM (Anti-HCV IgM)",835.0,11.3.A2.201,3.0,Серология,,A26.06.041.003,
"Антитела к вирусу гепатита D, суммарные (Anti-HDV)",1065.0,11.4.A1.201,5.0,Серология,,A26.06.043.002.001,
"Антитела к вирусу гепатита D, IgM (Anti-HDV IgM)",1065.0,11.4.A2.201,10.0,Серология,,A26.06.043.001,
"Антитела к вирусу гепатита E (Anti-HEV), IgM",1195.0,11.5.A2.201,3.0,Серология,,A26.06.044.001,
"Антитела к вирусу гепатита E, IgG (Anti-HEV IgG)",1215.0,11.5.A1.201,3.0,Серология,,A26.06.044.002,
ВИЧ (антитела и антигены),640.0,11.7.A1.201,1.0,Серология,,A26.06.049.001,
Микрореакция на сифилис качественно (RPR),530.0,11.6.A1.201,1.0,Серология,,A26.06.082.012,
"Микрореакция на сифилис, полуколичественно (RPR)",555.0,11.6.A6.201,1.0,Серология,,A26.06.082.001.001,
"Реакция пассивной гемагглютинации на сифилис (РПГА), качественно",675.0,11.6.A2.201,2.0,Серология,,A26.06.082.003.001,
"Реакция пассивной гемагглютинации на сифилис (РПГА), полуколичественно",700.0,11.6.A3.201,2.0,Серология,,A26.06.082.011,
"Антитела к бледной трепонеме (T.pallidum), сум.",850.0,11.6.A4.201,1.0,Серология,,A26.06.082.002.002,
"Антитела к бледной трепонеме (Treponema pallidum), IgM",1140.0,11.6.A5.201,2.0,Серология,,A26.06.082.009,
"Антитела к бледной трепонеме (антиген TmpA), IgG",830.0,11.6.A8.201,2.0,Серология,,A26.06.082.010,
Антитела к антигенам Т-лимфотропных вирусов (HTLV) 1 и 2 типов,1935.0,11.38.A1.201,5.0,Серология,,A26.06.087.001,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM",935.0,11.8.A1.201,3.0,Серология,,A26.06.045.003,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG",920.0,11.8.A2.201,1.0,Серология,,A26.06.045.004,
"Авидность IgG к вирусу простого герпеса I, II типов (Herpes simplex virus I, II) (включает определение антител к вирусу простого герпеса I, II типов, IgG)",1015.0,50.0.H75.201,4.0,Серология,,A26.06.046.002,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgM (иммуноблот)",6750.0,11.8.D1.201,3.0,Серология,,A26.06.045.003.001,
"Антитела к вирусу простого герпеса I, II типов (Herpes simplex virus I, II), IgG (иммуноблот)",6750.0,11.8.D2.201,3.0,Серология,,A26.06.046.002.001,
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgM",960.0,11.8.A4.201,3.0,Серология,,A26.06.045.005,
"Антитела к вирусу простого герпеса I типа (Herpes simplex virus I), IgG",1005.0,11.8.A5.201,3.0,Серология,,A26.06.045.001,
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgM",890.0,11.8.A6.201,3.0,Серология,,A26.06.045.006,
"Антитела к вирусу простого герпеса II типа (Herpes simplex virus II), IgG",895.0,11.8.A7.201,3.0,Серология,,A26.06.045.002,
"Антитела к вирусу герпеса VI типа (Human herpes virus VI), IgG",1020.0,11.8.A8.201,3.0,Серология,,A26.06.047.001,
"Антитела к вирусу Варицелла-Зостер (Varicella-Zoster), IgM",1255.0,11.49.A1.201,3.0,Серология,,A26.06.084.002,
"Антитела к вирусу Варицелла-Зостер (Varicella-Zoster), IgA",1430.0,11.49.A2.201,3.0,Серология,,A26.06.084.003,
"Антитела к вирусу Варицелла-Зостер (Varicella-Zoster), IgG",1120.0,11.49.A3.201,3.0,Серология,,A26.06.084.001,
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgM",915.0,11.10.A1.201,1.0,Серология,,A26.06.029.001,
"Антитела к капсидному антигену вируса Эпштейна-Барр (Epstein-Barr virus VCA), IgG",1030.0,11.10.A2.201,1.0,Серология,,A26.06.029.002,
"Антитела к раннему антигену вируса Эпштейна-Барр (Epstein-Barr virus EA), IgG",1050.0,11.10.A8.201,3.0,Серология,,A26.06.030,
"Антитела к ядерному антигену вируса Эпштейна-Барр (Epstein-Barr virus EBNA), IgG",935.0,11.10.A7.201,1.0,Серология,,A26.06.031,
"Авидность IgG к вирусу Эпштейна-Барр (Epstein-Barr virus, EBV) (включает определение антител к вирусу Эпштейна-Барр, IgG)",1390.0,50.0.H76.201,4.0,Серология,,A26.06.029.003,
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgM (иммуноблот)",4205.0,11.10.D1.201,3.0,Серология,,A26.06.028.001,
"Антитела к вирусу Эпштейна-Барр (Epstein-Barr virus), IgG (иммуноблот)",4205.0,11.10.D2.201,3.0,Серология,,A26.06.028.002,
"Антитела к цитомегаловирусу (Cytomegalovirus), IgG",825.0,11.9.A2.201,1.0,Серология,,A26.06.022.001,
"Авидность IgG к цитомегаловирусу (Cytomegalovirus) (включает определение антител к цитомегаловирусу, IgG)",1665.0,50.0.H74.201,4.0,Серология,,A26.06.022.003,
"Антитела к цитомегаловирусу (Cytomegalovirus), IgG (иммуноблот)",5675.0,11.9.D2.201,3.0,Серология,,A26.06.022.005,
Антитела к предраннему белку Цитомегаловируса (CMV IEA) IgM/IgG,1495.0,11.9.D4,9.0,Серология,,A26.06.022.006,
"Антитела к цитомегаловирусу (Cytomegalovirus), IgM",1035.0,11.9.A1.201,1.0,Серология,,A26.06.022.002,
"Антитела к вирусу краснухи, IgM",1040.0,11.11.A1.201,1.0,Серология,,A26.06.071.002,
"Антитела к вирусу краснухи, IgG",815.0,11.11.A2.201,1.0,Серология,,A26.06.071.001,
"Авидность IgG к вирусу краснухи (включает определение антител к вирусу краснухи, IgG)",1330.0,50.0.H77.201,4.0,Серология,,A26.06.071.003,
"Антитела к вирусу краснухи, IgG (иммуноблот)",6345.0,11.11.D1.201,3.0,Серология,,A26.06.071.004,
"Антитела к токсоплазме (Toxoplasma gondii), IgM",1060.0,11.19.A1.201,1.0,Серология,,A26.06.081.002,
"Антитела к токсоплазме (Toxoplasma gondii), IgA",755.0,11.19.A4.201,3.0,Серология,,A26.06.081.004,
"Антитела к токсоплазме (Toxoplasma gondii), IgG",815.0,11.19.A2.201,1.0,Серология,,A26.06.081.001,
"Авидность IgG к токсоплазме (Toxoplasma gondii) (включает определение антител к токсоплазме, IgG)",1480.0,50.0.H78.201,4.0,Серология,,A26.06.081.003,
"Антитела к парвовирусу (Parvovirus) B19, IgM",1195.0,11.26.A2.201,8.0,Серология,,A26.06.063.002,
"Антитела к парвовирусу (Parvovirus) B19, IgG",1195.0,11.26.A1.201,8.0,Серология,,A26.06.063.001,
"Антитела к вирусу кори, IgG",1210.0,11.12.A2.201,2.0,Серология,,A26.06.056.001,
"Антитела к вирусу эпидемического паротита, IgМ",1135.0,11.13.A1.201,5.0,Серология,,A26.06.112.002,
"Антитела к вирусу эпидемического паротита, IgG",1135.0,11.13.A2.201,5.0,Серология,,A26.06.112.001,
"Антитела к коклюшному токсину, IgА",1180.0,11.33.A1.201,3.0,Серология,,A26.06.103.001,
"Антитела к коклюшному токсину, IgG",1180.0,11.33.A2.201,3.0,Серология,,A26.06.103.002,
"Антитела к возбудителю коклюша (Bordetella pertussis), IgM",1180.0,11.33.A3.201,2.0,Серология,,A26.06.103.004,
"Антитела к возбудителям коклюша и паракоклюша (Bordetella pertussis, Bordetella parapertussis), суммарные (РПГА) полуколичественно",1150.0,11.33.D1.201,3.0,Серология,,A26.06.102.001,
"Антитела к Аденовирусу (Adenoviridae), IgM",1125.0,11.51.A3.201,8.0,Серология,,A26.06.005.001,
"Антитела к Аденовирусу (Adenoviridae), IgA",1125.0,11.51.A1.201,8.0,Серология,,A26.06.005.003,
"Антитела к Аденовирусу (Adenoviridae), IgG",1125.0,11.51.A2.201,8.0,Серология,,A26.06.005.002,
Антитела к возбудителю дифтерии (Corynebacterium diphtheriae),1245.0,11.28.A1.201,3.0,Серология,,A26.06.104.001,
Антитела к возбудителю столбняка (Clostridium tetani),1195.0,11.28.A2.201,4.0,Серология,,A26.06.105.002,
"Антитела к белку теплового шока Chlamydia trachomatis (Anti-cHSP60), IgG",1090.0,11.15.A8,9.0,Серология,,A26.06.018.003.001,
"Антитела к хламидии (Chlamydia trachomatis), IgM",910.0,11.15.A2.201,3.0,Серология,,A26.06.018.002,
"Антитела к хламидии (Chlamydia trachomatis), IgA",970.0,11.15.A1.201,3.0,Серология,,A26.06.018.001,
"Антитела к хламидии (Chlamydia trachomatis), IgG",985.0,11.15.A3.201,3.0,Серология,,A26.06.018.003,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgM",875.0,11.15.A5.201,3.0,Серология,,A26.06.016.001,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgА",970.0,11.15.A4.201,3.0,Серология,,A26.06.016.002,
"Антитела к хламидофиле (Chlamydophila pneumoniae), IgG",875.0,11.15.A6.201,3.0,Серология,,A26.06.016.003,
"Антитела к микоплазме (Mycoplasma hominis), IgА",1005.0,11.16.A1.201,3.0,Серология,,A26.06.057.004,
"Антитела к микоплазме (Mycoplasma hominis), IgG",775.0,11.16.A3.201,3.0,Серология,,A26.06.057.005,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgM",830.0,11.16.A6.201,3.0,Серология,,A26.06.057.001,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgА",840.0,11.16.A4.201,3.0,Серология,,A26.06.057.002,
"Антитела к микоплазме (Mycoplasma pneumoniae), IgG",860.0,11.16.A5.201,3.0,Серология,,A26.06.057.003,
"Антитела к уреаплазме (Ureaplasma urealyticum), IgА",930.0,11.17.A1.201,3.0,Серология,,A26.06.015.001.001,
"Антитела к уреаплазме (Ureaplasma urealyticum), IgG",930.0,11.17.A3.201,3.0,Серология,,A26.06.015.003.001,
"Антитела к трихомонаде (Trichomonas vaginalis), IgG",1005.0,11.18.A1.201,3.0,Серология,,A26.06.015.004,
"Антитела к кандиде (Candida albicans), IgM",815.0,11.21.A3.201,3.0,Серология,,A26.06.006.007,
"Антитела к кандиде (Candida albicans), IgA",815.0,11.21.A1.201,3.0,Серология,,A26.06.006.002,
"Антитела к кандиде (Candida albicans), IgG",1050.0,11.21.A2.201,3.0,Серология,,A26.06.006.003,
"Антитела к аспергиллам (Aspergillus fumigatus),IgG",890.0,11.47.A2.201,8.0,Серология,,A26.06.006.004,
"Антитела к микобактериям туберкулеза (Mycobacterium tuberculosis), суммарные",2355.0,11.23.A1.201,4.0,Серология,,A26.06.057.021,
"Антитела к легионеллам (Legionella pneumophila), суммарные",1005.0,11.25.A1.201,8.0,Серология,,A26.06.051.001,
"Антитела к бруцелле (Brucella), IgА",750.0,11.39.A1.201,2.0,Серология,,A26.06.012.005,
"Антитела к бруцелле (Brucella ), IgG",755.0,11.39.A2.201,2.0,Серология,,A26.06.012.006,
"Антитела к вирусу клещевого энцефалита, IgM",1005.0,11.40.A1.201,4.0,Серология,,A26.06.088.001,
"Антитела к вирусу клещевого энцефалита, IgG",1005.0,11.40.A2.201,4.0,Серология,,A26.06.088.002,
"Антитела к боррелиям (Borrelia burgdorferi), IgM",1130.0,11.24.A1.201,3.0,Серология,,A26.06.011.001,
"Антитела к боррелиям (Borrelia burgdorferi), IgG",1130.0,11.24.A2.201,3.0,Серология,,A26.06.011.002,
"Антитела к боррелиям (Borrelia), IgM (иммуноблот)",3035.0,11.24.D1.201,3.0,Серология,,A26.06.011.004,
"Антитела к боррелиям (Borrelia), IgG (иммуноблот)",3035.0,11.24.D2.201,3.0,Серология,,A26.06.011.005,
"Антитела к анизакидам (Anisakis), IgG",1015.0,11.20.A16,8.0,Серология,,A26.06.122.002,
"Антитела к описторхам (Opisthorchis felineus), IgM",1055.0,11.20.A10.201,3.0,Серология,,A26.06.062.002,
"Антитела к описторхам (Opisthorchis felineus), IgG",1235.0,11.20.A1.201,3.0,Серология,,A26.06.062.001,
"ЦИК, содержащие антигены описторхов",705.0,11.20.A14.201,8.0,Прочие анализы,,A09.05.074.004,
"Антитела к эхинококкам (Echinococcus granulosus), IgG",1110.0,11.20.A2.201,3.0,Серология,,A26.06.024.001,
"Антитела к токсокарам (Toxocara canis), IgG",800.0,11.20.A3.201,3.0,Серология,,A26.06.080.001,
"Антитела к трихинеллам (Trichinella spiralis), IgG",790.0,11.20.A4.201,3.0,Серология,,A26.06.079.001,
"Антитела к шистосомам (Schistosoma mansoni), IgG",1175.0,11.20.A5.201,8.0,Серология,,A26.06.124.001,
"Антитела к угрицам кишечным (Strongyloides stercoralis), IgG",1240.0,11.20.A6.201,8.0,Серология,,A26.06.123.001,
"Антитела к цистицеркам свиного цепня (Taenia solium), IgG",1240.0,11.20.A7.201,8.0,Серология,,A26.06.122.001,
"Антитела к трематодам (печеночный сосальщик Fasciola hepatica, кошачья двуустка Opisthorchis felineus), IgG, суммарно",1090.0,11.20.A8.201,8.0,Серология,,A26.06.125.001,
"Антитела к аскаридам (Ascaris lumbricoides), IgG",1295.0,11.20.A12.201,3.0,Серология,,A26.06.121.001,
"Антитела к клонорхам (Clonorchis sinensis), IgG",1135.0,11.20.A13.201,8.0,Серология,,A26.06.120.001,
"Антитела к лямблиям (Lamblia intestinalis), суммарные",955.0,11.22.A1.201,3.0,Серология,,A26.06.032.001,
"Антитела к лямблиям (Lamblia intestinalis), IgM",800.0,11.22.A2.201,3.0,Серология,,A26.06.032.002,
"Антитела к амебе дизентерийной (Entamoeba histolytica), IgG",1130.0,11.41.A1.201,8.0,Серология,,A26.06.026.001,
"Антитела к лейшмании (Leishmania infantum), IgM, IgG суммарно",1280.0,11.30.A1.201,8.0,Серология,,A26.06.053.001,
"Антитела к хеликобактеру (Helicobacter pylori), иммуноблот, IgG",3230.0,11.1.38.D1,7.0,Серология,,A26.06.033.006,
"Антитела к хеликобактеру (Helicobacter pylori), IgМ",1185.0,11.14.A3.201,8.0,Серология,,A26.06.033.003,
"Антитела к хеликобактеру (Helicobacter pylori), IgA",1205.0,11.14.A2.201,8.0,Серология,,A26.06.033.001,
"Антитела к хеликобактеру (Helicobacter pylori), IgG",910.0,11.14.A1.201,1.0,Серология,,A26.06.033.002,
"Антитела к шигеллам (Shigella flexneri I-V, Shigella sonnei)",2130.0,11.35.D1.201,2.0,Серология,,A26.06.097.001,
"Антитела к иерсиниям (Yersinia enterocolitica), IgA; IgG",2035.0,11.32.D1.201,5.0,Серология,,A26.06.093.001,
"Антитела к возбудителю псевдотуберкулеза (Yersinia pseudotuberculosis), РПГА, титр",765.0,11.32.A1,6.0,Серология,,A26.06.094.002,
"Антитела к сальмонеллам (Salmonella) A, B, C1, C2, D, E",765.0,11.36.A1.201,2.0,Серология,,A26.06.077.001,
Антитела к Vi-aнтигену возбудителя брюшного тифа (Salmonella typhi),965.0,11.37.A1.201,2.0,Серология,,A26.06.077.002,
"Антитела к вирусу Коксаки (Coxsackievirus), IgM, кач.",2130.0,11.46.A2,8.0,Серология,,A26.06.019.001,
Антитела к менингококку (Neisseria meningitidis),1560.0,11.34.A1.201,11.0,Серология,,A26.06.109,
"Антитела к респираторно-синцитиальному вирусу (RSV), IgG",1560.0,11.52.A2,8.0,Серология,,A26.06.067.001,
"Антитела к респираторно-синцитиальному вирусу (RSV), IgM",1560.0,11.52.A3,8.0,Серология,,A26.06.067.002,
"Антитела IgM к S- и N-белкам коронавируса SARS-CоV-2 (ИФА, Россия), полуколич.",785.0,11.57.A5,3.0,Серология,,A26.06.057.008,
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США), колич.",1210.0,11.57.A14,1.0,Серология,,A26.06.057.012,
"Антитела IgG к RBD домену S 1 белка коронавируса SARS-Cov2 (Abbott, США, результат на английском и русском языках), колич.",1390.0,50.0.H204,1.0,Серология,,A26.06.057.013,
"РНК вируса гепатита А, кровь, кач.",1115.0,12.7.A1.202,5.0,ПЦР диагностика & Генетика,,A26.05.030.001.001,
"ДНК вируса гепатита B, кровь, кач.",850.0,12.8.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.020.001,
"ДНК вируса гепатита B, кровь, колич.",5575.0,12.8.A2.202,3.0,ПЦР диагностика & Генетика,,A26.05.020.002,
"ДНК ВГВ, генотип (A,B,C,D) кровь, кач.",3200.0,12.8.D2,7.0,ПЦР диагностика & Генетика,,A26.05.020.003,
"РНК вируса гепатита C, кровь, кач.",1120.0,12.9.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.019.001,
"РНК вируса гепатита C, кровь, колич.",4100.0,12.9.A2.202,5.0,ПЦР диагностика & Генетика,,A26.05.019.002,
"РНК ВГC, генотип (1,2,3), кровь, кач.",1920.0,12.9.D2,5.0,ПЦР диагностика & Генетика,,A26.05.019.003.004,
"РНК ВГС, генотип (1a,1b,2,3a,4,5a,6),кровь,кач.",2675.0,12.9.D3,7.0,ПЦР диагностика & Генетика,,A26.05.019.004,
"РНК ВГC, генотип (1a,1b,2,3a,4,5a,6) кровь, колич.",5115.0,12.9.D1,7.0,ПЦР диагностика & Генетика,,A26.05.019.005,
"РНК вируса гепатита D, кровь, кач.",1100.0,12.10.A1.202,5.0,ПЦР диагностика & Генетика,,A26.05.023.001,
"РНК вируса гепатита D, кровь, колич.",1150.0,12.10.A3,5.0,ПЦР диагностика & Генетика,,A26.05.023.002,
"РНК вируса гепатита G, кровь, кач.",1140.0,12.11.A1.202,7.0,ПЦР диагностика & Генетика,,A26.05.026.001.001,
"*РНК ВИЧ I типа, кровь, кач.",3790.0,12.18.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.021.001.001,
"*РНК ВИЧ I типа, кровь, колич.",10985.0,12.18.A2.202,3.0,ПЦР диагностика & Генетика,,A26.05.021.005,
"*Одновременное определение ДНК вируса гепатита В, РНК вируса гепатита С, РНК ВИЧ I типа, кровь, кач.",4650.0,12.21.D1.202,5.0,ПЦР диагностика & Генетика,,A26.05.020.004,
"ДНК вируса простого герпеса I, II типа (Herpes simplex virus I, II), кровь, кач.",645.0,12.14.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.035.001,
ДНК вируса простого герпеса I типа (Herpes simplex virus I),520.0,13.19.A1.900,1.0,ПЦР диагностика & Генетика,,A26.06.045.001.002,
"ДНК вируса простого герпеса I типа (Herpes simplex virus I), количественно",555.0,13.19.A4.900,1.0,ПЦР диагностика & Генетика,,A26.06.045.001.001,
ДНК вируса простого герпеса II типа (Herpes simplex virus II),535.0,13.19.A2.900,1.0,ПЦР диагностика & Генетика,,A26.05.035.001.006,
"ДНК вируса простого герпеса II типа (Herpes simplex virus II), количественно",555.0,13.19.A5.900,1.0,ПЦР диагностика & Генетика,,A26.05.035.002.005,
ДНК вируса простого герпеса I и II типов (Herpes simplex virus I и II),555.0,13.19.A3.900,1.0,ПЦР диагностика & Генетика,,A26.05.035.003,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, кач.",545.0,12.15.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.033.001,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), кровь, колич.",570.0,12.15.A2,3.0,ПЦР диагностика & Генетика,,A26.05.033.002,
ДНК вируса герпеса VI типа (Human Herpes virus VI),565.0,13.20.A1.900,1.0,ПЦР диагностика & Генетика,,A26.06.047.001.001,
"ДНК вируса герпеса VI типа (Human Herpes virus VI), количественно",630.0,13.20.A2.900,1.0,ПЦР диагностика & Генетика,,A26.06.047.001.002,
"ДНК вируса герпеса VII типа (Human Herpes virus VII), кровь, кач.",680.0,12.26.A1.202,7.0,ПЦР диагностика & Генетика,,A26.05.024.003,
ДНК вируса герпеса VII типа (Human Herpes virus VII),600.0,13.46.A1.900,7.0,ПЦР диагностика & Генетика,,A26.05.024.002,
ДНК вируса герпеса 8 типа (Human Herpes virus VIII) кровь,550.0,12.31.A1.202,10.0,ПЦР диагностика & Генетика,,A26.05.024.001.001,
"ДНК цитомегаловируса (Cytomegalovirus), кровь, кач.",710.0,12.13.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.017.001,
"ДНК цитомегаловируса (Cytomegalovirus), кровь, колич.",935.0,12.13.A2.202,3.0,ПЦР диагностика & Генетика,,A26.05.017.002,
"ДНК цитомегаловируса (Cytomegalovirus, CMV)",605.0,13.18.A1.900,1.0,ПЦР диагностика & Генетика,,A26.08.058.001.004,
"ДНК цитомегаловируса (Cytomegalovirus, CMV), количественно",595.0,13.18.A2.900,1.0,ПЦР диагностика & Генетика,,A26.08.058.002.001,
"РНК вируса краснухи (Rubella virus), кровь, кач.",1255.0,12.23.A1.202,5.0,ПЦР диагностика & Генетика,,A26.07.010.003,
"РНК вируса гриппа A/H1N1 (свиной грипп), (кач.)",4145.0,13.30.A2.900,1.0,ПЦР диагностика & Генетика,,A26.08.038.001.001,
"РНК вирусов гриппа A/H1N1,A/H3N2",3230.0,13.30.D3.900,1.0,ПЦР диагностика & Генетика,,A26.08.038.001.002,
Генотипирование вируса гриппа (А/B),1390.0,13.30.D1.900,1.0,ПЦР диагностика & Генетика,,A26.08.038.001.003,
"ОРВИ-Скрин (РНК респираторносинцитиального вируса/ РНК метапневмовируса/ РНК  парагриппа (типов 1, 2, 3 и 4)/ РНК коронавирусов/ РНК риновирусов/ ДНК аденовирусов  (групп B, C и E)/ ДНК бокавируса)",2850.0,13.30.D2.900,1.0,ПЦР диагностика & Генетика,,A26.08.020.001.001,
*РНК коронавируса SARS-CoV-2 (COVID-19),1910.0,13.30.A4,1.0,ПЦР диагностика & Генетика,,A26.08.027.001.004,
"*РНК коронавируса SARS-CoV-2 (COVID-19, результат на английском и русском языках)",1910.0,50.0.H181,1.0,ПЦР диагностика & Генетика,,A26.08.027.001.006,
"*РНК коронавируса SARS-CoV-2, COVID-19, (срочный), результат на английском и русском языках",3710.0,50.0.H192,1.0,ПЦР диагностика & Генетика,,A26.08.027.001.003,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, кач.",710.0,12.16.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.011.001,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), кровь, колич.",710.0,12.16.A2.202,3.0,ПЦР диагностика & Генетика,,A26.05.011.002,
ДНК вируса Эпштейна-Барр (Epstein-Barr virus),530.0,13.21.A1.900,1.0,ПЦР диагностика & Генетика,,A26.08.059.001.001,
"ДНК вируса Эпштейна-Барр (Epstein-Barr virus), количественно",635.0,13.21.A2.900,1.0,ПЦР диагностика & Генетика,,A26.08.059.002.001,
"ДНК вируса Варицелла-Зостер (Varicella-Zoster virus), кровь, кач.",640.0,12.17.A1.202,3.0,ПЦР диагностика & Генетика,,A26.05.042.001,
ДНК вируса Варицелла-Зостер (Varicella-Zoster virus),550.0,13.22.A1.900,3.0,ПЦР диагностика & Генетика,,A26.06.056.003,
"ДНК парвовируса B19 (Parvovirus B19), кровь, колич.",1070.0,12.22.A2.202,4.0,ПЦР диагностика & Генетика,,A26.05.032.002,
ДНК парвовируса B19 (Parvovirus B19),815.0,13.34.A1.900,4.0,ПЦР диагностика & Генетика,,A26.05.032.003,
"ДНК аденовируса (типы 3, 2, 5, 4, 7, 12, 16, 40, 41, 48), кровь, кач.",1360.0,12.25.A1.202,3.0,ПЦР диагностика & Генетика,,A26.08.022.001.001,
"ДНК аденовируса (типы 3, 2, 5, 4, 7, 12, 16, 40, 41, 48)",1360.0,13.29.A1.900,5.0,ПЦР диагностика & Генетика,,A26.08.022.002,
"ДНК папилломавирусов (ВПЧ) 16/18 типов, типирование",735.0,13.1.18.A1,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.037,
"ДНК папилломавирусов (ВПЧ) высокого канцерогенного риска 14 типов (КВМ, типы 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), типирование, кол.",2140.0,13.11.D1,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.036,
"ВПЧ-тест (ROCHE COBAS4800) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 без определения типа)",2530.0,13.23.D5.900,8.0,ПЦР диагностика & Генетика,,A26.21.008.001.011,
"ВПЧ-тест (Вектор-Бест) высокого канцерогенного риска (16-68 типов: 16, 18 с определением типа, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 суммарно)",2150.0,13.23.D10,8.0,ПЦР диагностика & Генетика,,A26.21.008.001.009,
"ДНК папилломавирусов (ВПЧ) 14 типов (КВМ, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), типирование, кол.",2140.0,13.23.H1,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.010,
"ДНК папилломавирусов (ВПЧ) 21 тип (КВМ, типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82), типирование, кол.",3465.0,13.23.H2,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.015,
"ДНК папилломавирусов (ВПЧ) 6/11 типов, типирование",770.0,13.23.D2.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.002,
"ДНК папилломавирусов (ВПЧ) 6/11 типов, типирование, кол.",1025.0,13.23.D3.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.001,
ДНК папилломавируса (ВПЧ) 16 типа,535.0,13.23.A1.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.002,
ДНК папилломавируса (ВПЧ) 18 типа,535.0,13.23.A2.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.003,
"ДНК папилломавирусов (ВПЧ) 16/18 типов, типирование, кол.",775.0,13.24.D1.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.004,
"ДНК папилломавирусов (ВПЧ) 31/33 типов, типирование",445.0,13.23.D1.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.005,
"ДНК папилломавирусов (ВПЧ) 31/33 типов, типирование, кол.",510.0,13.23.D4.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.006,
"ДНК папилломавирусов (ВПЧ) высокого канцерогенного риска (16-68 типов: 16,18,31,33,35,39,45,51,52,56,58,59,66,68) суммарно",1455.0,13.23.A3.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.007,
"ДНК папилломавирусов (ВПЧ) высокого канцерогенного риска 12 типов (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 типов), типирование",1525.0,13.23.D6.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.008,
"ДНК папилломавирусов (ВПЧ) 4 типа (КВМ, типы 6, 11, 16, 18), типирование, кол.",890.0,50.0.H45.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.012,
"ДНК папилломавирусов (ВПЧ) 14 типов (КВМ, типы 6, 11, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), типирование, кол., с пересчетом на у.е. Hybrid Capture",2140.0,50.0.H49.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.013,
"ДНК папилломавирусов (ВПЧ) 21 тип (КВМ, типы 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82), типирование, кол., с пересчетом на у.е. Hybrid Capture",3465.0,50.0.H85.900,1.0,ПЦР диагностика & Генетика,,A26.21.008.001.014,
"ДНК хламидии (Chlamydia trachomatis), количественно",585.0,13.1.A3.900,1.0,ПЦР диагностика & Генетика,,A26.20.020.005,
ДНК хламидии (Chlamydia trachomatis),530.0,13.1.A1.900,1.0,ПЦР диагностика & Генетика,,A26.20.020.003,
